cell in final.xcl,lower quantile,middle quantile,upper quantile,actual CP in data,average of lower and upper
12002,894.200,1335.38,2286.21,1592,1590.20322685
12003,642.741,908.25,1550.64,1299,1096.69113741
12004,435.783,557.69,1499.52,648.999999999999,967.64981014
12005,784.821,1238.49,2285.46,998.999999999999,1535.14131395
12006,497.781,617.16,1491.83,764,994.802971375
12007,596.915,958.74,1595.80,808.999999999999,1096.35967397
12060,495.950,782.92,1277.98,1329,886.96575496
12061,1070.551,2304.38,5117.81,2698.99999999999,3094.18300907
12062,897.479,2466.91,4451.96,3498.99999999999,2674.718331205
12063,623.321,950.55,1671.54,1598.99999999999,1147.428175445
12064,1649.460,2574.42,3755.71,2798.99999999999,2702.58539271
12065,1381.543,2601.75,3369.17,3498.99999999999,2375.35571041
12066,591.003,947.29,1810.00,998.999999999999,1200.50070987
