cell in myntra,cp,sp,link
15000,599,828.8,Buy Anouk Women Black Printed Straight Kurta - Kurtas for Women 2021310 | Myntra
15001,849,1222.95,https://www.myntra.com/dresses/rare-roots/rare-roots-women-navy-blue-solid-a-line-dress/9783251/buy
12002,1592,1850.22,https://www.myntra.com/kurta-sets/ethnix/ethnix-men-sea-green--white-solid-kurta-with-churidar/7772299/buy
12003,1299,1504.1,https://www.myntra.com/7952799
12004,649,949.37,https://www.myntra.com/1751857
12005,764.14,990,https://www.myntra.com/dresses/house-of-pataudi/house-of-pataudi-women-grey-printed-pleated-a-line-dress/8317253/buy
12006,764,1399,https://www.myntra.com/8216605
14997,759,1457.45,https://www.myntra.com/kurta-sets/lilpicks/lilpicks-boys-green--yellow-printed-kurta-with-pyjamas/10300951/buy
14998,627,987.89,https://www.myntra.com/kurtas/shakumbhari/shakumbhari-women-pink-embroidered-a-line-kurta/5504617/buy
13531,2360,2895,https://www.myntra.com/skirts/indya/indya-women-green-printed-flared-maxi-skirt/9743903/buy
